Valor
0.00434914
0.00549452
0.00684219
0.00839847
0.0101612
0.012118
0.0142447
0.0165051
0.0188504
0.0212209
0.0235476
0.0257554
0.0277671
0.0295075
0.0309081
0.031912
0.0324769
0.0325787
0.0322132
0.0313959
0.0301614
0.0285608
0.0266581
0.024526
0.0222415
0.0198812
0.017517
0.015213
0.0130231
0.010989
0.00914004
0.00749379
0.0060569
0.00482691
0.00379431
0.0029447
0.00226094
0.00172515
0.00132051
0.00103273
0.00085116
0.000769458
0.000785816
0.000902566
0.00112516
0.00146047
0.00191446
0.00248945
0.00318115
0.00397609
0.00484982
0.00576645
0.00667987
0.00753681
0.00828157
0.00886175
0.00923432
0.00937099
0.00926199
0.00891771
0.00836787
0.00765857
0.0068477
0.00599963
0.00518002
0.00445135
0.00386958
0.00348183
0.00332467
0.00342257
0.00378611
0.00440968
0.0052692
0.00632043
0.00749884
0.00872212
0.00989566
0.0109212
0.0117072
0.0121801
0.0122937
0.012035
0.011426
0.0105195
0.00939144
0.0081302
0.00682489
0.00555538
0.00438484
0.00335595
0.00249056
0.00179226
0.00125062
0.00084619
0.000555178
0.000353197
0.000217882
0.000130331
7.5595e-05
4.25166e-05
2.3187e-05
